[1:00:01] OpieTelford: ซื้อแล้วไม่ใช่หราาาา
[1:00:03] keng418: เอาาาาลถงงง
[1:00:04] phethahe: สวยจริง
[1:00:04] THE271: กล่าวถึงลุง
[1:00:05] sixdriver22: ของมันคู่กันลุง5555
[1:00:05] nanoregency: ต้องป๋าโจ
[1:00:07] praewa__: เห็นแล้วนีกถึงพี่แว่น
[1:00:08] dasosa_itty: ซิง
[1:00:08] AloneZ_3012: สวยเกินนนน
[1:00:09] charlotte20005: ซิง
[1:00:09] WaTzTeeRaWaT: วีสเป็คเน้อ💙💙💙
[1:00:09] i_kuyy: gtt แปลง gtr ก็สวยล่ะ ขับชิวๆ
[1:00:09] svjboyd: จริงๆ
[1:00:10] nongoat9140: ลุงไม่สนเล่น อีโว มั้งหรอครับบบบบบบบบ
[1:00:11] preamo_o: ซิง
[1:00:11] 1sert23: ผมมีทะเบียน35นะครับลุง
[1:00:12] hamdamnahkap: ไอดล
[1:00:14] sirayuhbeat: 5555++
[1:00:14] dabkumfew: จริง
[1:00:15] wiraphat_2208: ซิง
[1:00:15] piriyapat_: อันบนฮาๆ
[1:01:19] bvstdrss: !uptime
[1:01:19] khasemsak162000: ดูอันแรก
[1:01:20] deen9628: Kappa Kappa
[1:01:20] Nightbot: Stream uptime 1 hour, 1 minute, 28 seconds
[1:01:20] phuthanet_click: นี่พี่แต่งตัวแบบนี้ขี่kr
[1:01:20] junior_heaven: ต้องดูของมาดี5555
[1:01:20] arinnnn474: ไอ้ดลบนสุดโครตฮ่า
[1:01:21] thanakrit116: BibleThump
[1:01:21] yellyjubjubb: คลิปบนสุดโคตรฮาเลยลุง
[1:01:23] yopsj123: ลองดุคริปบนลุง
[1:01:23] lucifer_max666: <3 <3 <3 <3
[1:01:24] gsss44n: ไอดลลุง
[1:01:24] thanawin_za: บนสุดอย่างฮา
[1:01:27] khobeone: <3
[1:01:28] wy_0037: คริปบ่นสุดคับลุง
[1:01:28] kittipatgot09: ไอดลๆ
[1:01:29] pattaraponvonganu: คริปบนดล
[1:01:30] chekom123: ไอดลโครตฮาอ่ะลุงด้านบนอ่ะ
[1:01:30] who_am_i09303: คลิปบนสุดโคตรฮาเลยลุง
[1:01:30] maiiiiiiiiiiiiii_: jackey9Mnheart
[1:01:31] phupha_55: <3 <3 <3
[1:01:32] dech_555: ดูคริปบนสุด
[1:01:33] hibari1412: <3 <3
[1:01:35] AUMMMMMMM_: cmonBruh
[1:01:36] malee_swymak: ดูปาโจ vs โพล์ค
[1:01:37] kdhdwo: <3 <3
[1:01:37] bomby56: เข้
[1:01:38] nai_8436: goodni15Gnsleepy
[1:01:38] sensezf: คมจ๊าดดดดดดดด
[1:01:38] palm1_z: ไอดลโครตฮา
[1:01:38] martinmarjai: <3
[1:01:39] kim_57u: <3 <3 <3 <3
[1:01:39] pae89: สั่งเพื่อ
[1:01:39] pond20066: ติดสั่งแล้ว
[1:01:39] zatons: Kappa Kappa Kappa
[1:01:40] middleonelive: เข้
[1:01:40] Ladiidearr: miySip miySip
[1:01:40] jame_klp: บนสุดโคตรฮา
[1:01:40] baithom_: <3 <3
[1:01:40] sunnybnx: เคยมีหนุ่มเอาr34มารับไปเที่ยวบ่อยๆ ตอนนั้นไม่รู้ว่าคือรถอะไร พอพี่แกพูดว่าเอา34มาสยาม นี่นึกว่ารถเมล์555555
[1:01:40] best_kst: ..
[1:01:40] tonetone2000: ไอดอลเลยแจ็คกี้
[1:01:40] irewkonlotae_: เอาไปเลย 1 นิ้วโป้งและเอาไปเลย 2 นิ้วโป้งงง
[1:01:42] Willet999: <3 <3 <3
[1:01:42] TENLOWWELL: เหยดดดด
[1:01:43] huhuhuuuuuuuu: <3 <3 <3
[1:01:44] charlotte20005: ไม่สั่งเน้ออ
[1:01:44] lucifer12_56: ไม่สั่งกันนะ
[1:01:44] pos5555: เชรดๆ
[1:01:44] nonsnook26: jackey9Mnheart jackey9Mnheart
[1:01:45] apinanch: ไอดลลลล
[1:01:45] bigbear_r: <3 <3
[1:01:46] InCentury: mizuzComfy mizuzComfy mizuzComfy
[1:01:46] gof_exd: อย่าสั่ง
[1:01:46] ashita5245: <3 Kappa Kappa
[1:01:47] polyzpunza: โคตรหล่อ
[1:01:47] rezeero: rebirthztvAhiahi
[1:01:47] Tanglerrz: น้องรักกกก
[1:01:47] yeanssss_: สั่งหว่า
[1:01:49] midokeruk_: อย่าหาว่าแจ็คสอน
[1:01:49] ten_ten1010: ไอดอล
[1:01:49] dewdiw_: ไม่สั่ง
[1:01:50] IT_itTItiIT: jackey9Ngummm jackey9Ngummm
[1:01:51] Armywanx: Kappa
[1:01:51] yiewyiew: <3 <3 <3
[1:01:52] pleum1121: Kappa
[1:01:52] nxeyy__: <3
[1:01:52] RinzMinz: หล่อไปอีกกกก
[1:01:53] yskprince: yskprince subscribed at Tier 1. 
[1:01:53] kraprow_musapp: หล่อจ๊าดดดดด
[1:01:54] tynsandy: <3
[1:01:54] huahomm7: ไอดอล
[1:01:54] khaet: ตบมือไห้อ้ายเขาแน่
[1:01:55] afnan229: ดูไอ้ดล
[1:01:55] Abyssces: <3 <3
[1:01:55] koi_momo: Kappa Kappa Kappa
[1:01:56] kog123got: ไอดล
[1:01:56] svjboyd: แจ็คโคตรเก่งจริงๆยอมรับ
[1:01:57] jatiskla: ดลไหนว้าาา
[1:01:58] sadgirl00132: หล่อเกิ้นนนนนนนนน
[1:01:59] realbpct: หล่อจริง
[1:01:59] Mathisgod: jackey9Mnheart jackey9Mnheart jackey9Mnheart
[1:01:59] khobeone: <3 <3
[1:02:01] Natthawut_ns: jackey9Jackeshy jackey9Jackeshy
[1:02:01] AloneZ_3012: 5555555
[1:02:01] K3nNicolai: LUL
[1:02:01] purple_moon_iusupczz: ไอ้พวกที่บอกคนดูน้อย สมองมันน่าจะน้อยอ่ะ 4000 น้อยบ้านมึงอ่ะ
[1:02:02] 3sofree: ไอดอล
[1:02:02] xerxlerly: ไลฟ์โค๊ด
[1:02:02] thanawat633: CarlSmile
[1:02:02] neverdie_1992: หล่อไม่ไหว
[1:02:03] winzen_m: 55555
[1:02:03] t4nbn77: หล่อจ๊าดดด
[1:02:03] sativa_dominant420: เท่เกิ้นนนนน300%
[1:02:03] tirapat008: อยู่แล้วๆ
[1:02:03] planja_44: <3 <3
[1:02:05] keng418: หล่อจริง
[1:02:07] arinnnn474: คริปบนสุดโครตฮ่า
[1:02:07] mildddzz: jackey9Mnheart
[1:02:08] maiiiiiiiiiiiiii_: ติดสั่งแหนะ
[1:02:08] 0644858344: มันอายเขา
[1:02:10] s0dix_: ใครขอเลขบัญชี555
[1:02:10] allwhite0w0: 55555
[1:02:10] no_name_ku_: เอาไปเลย1นิ้วโป้ง และ 2นิ้วโป้ง
[1:02:10] Paipypy: @purple_moon_iusupczz jackey9JackeyLOL jackey9JackeyLOL
[1:02:11] dasosa_itty: 5555
[1:02:12] WaTzTeeRaWaT: สาวลึ่มๆ
[1:02:12] pkklegacy101: ได้ลุงไปเต็มๆ
[1:02:13] hibari1412: 5555555555555
[1:02:13] sensezf: 555555555555
[1:02:13] toby_ming: 55555555
[1:02:14] zatons: WutFace WutFace
[1:02:14] PEEZA10446: rebirthztvTew
[1:02:14] arnus_arnus: 5555555555
[1:02:15] 007oom: 555555555555
[1:02:15] LeOn_MMIII: 55555
[1:02:15] apinanch: คลิปบนนนนน
[1:02:15] beam_050: 555555555
[1:02:16] meemamaikaa: @purple_moon_iusupczz genost1Kaosoy1
[1:02:16] papae078: มาแรง55555
[1:02:16] xseiryux: 55555555
[1:02:17] Whatis_happiness: 555555555555
[1:02:17] geegyboizzz: 555
[1:02:17] nathan_qnx: 55555555
[1:02:17] aopcts: 555555
[1:02:18] Few_Few_: ในเมนท์บอกทวิตหาร3 จริงหรอครับลุง
[1:02:18] ga_nathaniel: 55555555
[1:02:18] tumo007: rebirthztvHa
[1:02:18] kdhdwo: คนละฟิลกันเลย555555
[1:02:18] i_am_wedday: 5555555
[1:02:18] film1112cc: ซิลง
[1:02:19] pleumkun: LUL
[1:02:19] garteeh_roy: 555555
[1:02:19] ninecasper: 55555
[1:02:19] HighM4rk: 5555555
[1:02:19] popularjubjub: 555555555
[1:02:19] gryffindorr: ผู้นำเทรน
[1:02:20] pos5555: 5555
[1:02:20] piriyapat_: 5555555
[1:02:20] limitgg04: 555555
[1:02:21] ittipat099: อย่าหาว่าเเจ็คสอน555
[1:02:21] hzkz45: 555555555555555555555
[1:02:21] rezeero: 555555555
[1:02:21] purple_moon_iusupczz: @paipypy jackey9JackeyLOL
[1:02:21] guy_ariyaa: 55555555555555555555
[1:02:22] nipatzxxa: ตัวนำเทรน
