[0:38:01] ぜうすさぶお: 葉ーーーー高木ーーーー
[0:38:06] ふでかげ: 先にシャワー浴びてきなさい
[0:38:33] レヴィ99: おもろ
[0:38:36] twmonitor: 弾が足りなくなりそう
[0:39:00] ぜうすさぶお: ｗｗｗｗ
[0:39:01] shun0628ns: ぶち殺すえ～
[0:39:12] atsumori_pop: https://clips.twitch.tv/RamshackleIronicCurlewImGlitch-dQtOdoyqJAIyKfX8
[0:39:13] レヴィ99: ブラックマネーも取れるのか
[0:39:34] itoriyo: 漁夫だえ
[0:39:37] ふでかげ: みつどもえｗｗｗｗ
[0:39:44] texcoawg1309: ワクワクする！
[0:40:12] しぇぱ3: おもろいやつやん
[0:40:16] atsumori_pop: 銃足りるか？ｗ
[0:40:17] rinnemu75: クラフト今の間にしとくか？
[0:40:25] sakuto3399: 弾は警察に押収されないからねえ
[0:41:03] ぜうすさぶお: お大事に
[0:41:10] hiromuucho1: 最近皆んなやばいね
[0:41:17] ふでかげ: みんな風邪ひいとる
[0:41:34] yamashyo: チャルだけ服違うw
[0:41:51] 海猫だおーん: でも葉は来てないぇ？
[0:42:00] atsumori_pop: すっげえ人数だ
[0:42:04] レヴィ99: 初めて会う人とかいそうだ
[0:42:18] ぜうすさぶお: 葉何してるえ
[0:42:18] torinosu_rainy: 新人のないかな
[0:42:38] sakuto3399: 昔Irisと色々あった高木が来たら絶対おもろかった
[0:42:42] ふでかげ: 変装は無しですの？
[0:42:43] tokyo_1192: 新人さん居ないの？
[0:42:49] 祭礼: 大型の準備もいかれるって事よな
[0:42:51] twmonitor: あえて受注させて途中で襲う方が楽しそうだえｗ
[0:42:51] 417かちゃ: 新人入ったの？！
[0:42:56] oliolikisuke: 政宗いないんだ
[0:42:56] texcoawg1309: ｗｗｗ
[0:43:02] torinosu_rainy: シナジー
[0:43:04] atsumori_pop: 範馬刃牙復活ッッ！
[0:43:07] ふでかげ: 私は一向にかまわん！
[0:43:08] ichisanniiroku: こずえｗｗｗ
[0:43:14] torinosu_rainy: let's海王いくえ
[0:43:17] ぜうすさぶお: ｗｗｗｗ
[0:43:19] 半熟めんま: ｗｗｗｗ
[0:43:25] wendo_nex: えw
[0:43:26] たろをまんじ: 社内恋愛
[0:43:27] エービー: 後輩おん
[0:43:33] texcoawg1309: 萌え枠ｗ
[0:43:39] 祭礼: ほーう
[0:43:43] くすんでない: すでにすんより強い
[0:43:45] wendo_nex: よっしゃー
[0:43:50] zenith_ar: 22時過ぎか
[0:43:50] シノハジ: 肉壁要員にしかなれんよな
