[0:04:29] rungarunzx: rebirthztvJak rebirthztvJak rebirthztvJak Kappa
[0:04:29] purple_moon_iusupczz: @polkritza สวัสดีจ้า HypeHai
[0:04:30] phxng55: ดีคับ
[0:04:31] pang2k: ได้แต่เกรด 5555555
[0:04:32] shiba_t__: @purple_moon_iusupczz สวัสดีครับพี่ซุป
[0:04:32] withigorn_051049: มาาาาาาา
[0:04:32] minttt544: วันนี้ซ้อมหรือทำอะไรหนุกๆครับ rebirthztvNice rebirthztvNice
[0:04:34] mek_11: หลอดอาหาร
[0:04:35] tipakon_xx: rebirthztvAroi
[0:04:37] jamejame123456o: ดีครับ
[0:04:39] ANT_SUPHAPOR_ANT: ดีครับ
[0:04:39] pipo3350: ดีค้าบ
[0:04:39] smin_afk: ดีครับคุณลุงงง
[0:04:40] kritsana_nay: มาแล้วว
[0:04:41] duekkdj: ลุงน่าจะอึอยู่
[0:04:42] phonlqpeegta: JAKแข่งกี่โมงครับ
[0:04:45] deaw17555: PunchTrees BloodTrail
[0:04:45] maizoso09: ดีครับลุง
[0:04:45] kiorescv: ดีครับ
[0:04:46] jinnew_fell: ลุงงงงงงงง
[0:04:46] godryoma: <3
[0:04:47] bosss22134: ดีครับ
[0:04:47] 1111112282: มาเเล้วว
[0:04:48] purple_moon_iusupczz: @shiba_t__ สวัสดีจ้าชิบะ HypeWow
[0:04:51] mikey2049: ดีครับ
[0:04:52] oong040564k: ดีคับ
[0:04:52] ooll223451: MVGame
[0:04:53] peen_100: SeemsGood
[0:04:53] a_l_e_x_0_0: ดีัคบบบบบ
[0:04:55] bbddggyytt: สวัดดีครับพี่เอส
[0:04:55] fluke1888: ดีคับลุง
[0:04:56] tangasphr: ดีค้าบลุง
[0:04:56] chenjitiwattana55: @phonlqpeegta 3-4ทุ้ม
[0:04:57] huawei__35: @phonlqpeegta 21:00
[0:04:57] phattarawa: 21.00
[0:04:58] BeerCo2: สวัสดีครับพี่เอส rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:05:01] T_Theerachai: rebirthztvNarukeu rebirthztvNarukeu rebirthztvNarukeu
[0:05:01] folkkk_: @purple_moon_iusupczz ดีงับ.
[0:05:02] p_peekaboo: ดีน้าบคุณลุง แข่งวันนี้สู้ๆน้าบบบบบบ
[0:05:02] purple_moon_iusupczz: แข่ง 3 ทุ่มนิ
[0:05:02] Lapiis1: @purple_moon_iusupczz ดีค้าบบ jackey9JackeyDja jackey9JackeyDja
