[0:02:08] TOWER_TYG: ยัง
[0:02:08] thursday195_: 1412
[0:02:08] ryuyork543: 1412
[0:02:09] dullahanxtv: ผมรู้
[0:02:09] autopuh: 1412
[0:02:09] nnui12345: 1412
[0:02:09] daminct: ไม่รู้
[0:02:09] 1sepp_: ยังไม่รู้งับ
[0:02:10] firstday2201: ยังครับ อธิบายเลยลุง
[0:02:10] go_64: ไม่รู้ครับ
[0:02:10] viwsn: ยัง
[0:02:10] MUNANY00: ยังครับ
[0:02:10] BoyMonkielu: ยังไม่รู้
[0:02:11] jgcnifckkhg: ยัง
[0:02:11] musucra: ยัง
[0:02:11] prakasit25399: อ่มมมม
[0:02:12] fjfkrmndgusksk: ยังน้อง
[0:02:12] triplefyouknow: ยัง
[0:02:12] chanom65: ไม่รู้ไม่ได้ตาม
[0:02:13] aomsap60: ยัง
[0:02:14] jojunee: ยัง
[0:02:14] danzaq456: ยัง
[0:02:14] yang_yiyi: yang_yiyi subscribed at Tier 1. They've subscribed for 11 months! 
[0:02:15] sppearrr: ม่ายยนนน
[0:02:15] adenan_080741: ยัง
[0:02:15] gunter00123: ยังไๆๆ
[0:02:15] oum1995: ไม่รู้ครับ
[0:02:15] officeworkergaming: The ripper
[0:02:15] toeyhell: 1412
[0:02:16] Plam_888: ยังครับ
[0:02:17] wanchai985: 1412
[0:02:17] namkhao_t: หะ
[0:02:18] Nui910: ใครอะ
[0:02:18] justfah93: ยัง
[0:02:18] poomexp: ยังคงรับ
[0:02:19] lionwisdom: 1412
[0:02:20] aefnpr777: 1412
[0:02:20] aunkunza: กำลังจะนอนอยู่ดีๆก็มีเรื่องให้นอนไม่หลับ
[0:02:22] jjccgy: ยังครับจุนลุง
[0:02:22] naofal1961: ยังไๆ
[0:02:23] Care3ear: พอเดาได้
[0:02:23] rojnattapat: 1412
[0:02:25] spriteza321: ใครครับ
[0:02:25] kadwdw: ่า
[0:02:26] aumaim_27: ยังเลยลุงง
[0:02:27] akira_zx8: 1150
[0:02:27] graphicinfull: รู้ๆ
[0:02:28] vegasrealgod: Who?
[0:02:29] ppimjung: รู้ตอนนี้แหละ
[0:02:30] khongff: ยังไ
[0:02:30] 3bb1234: ยัง
[0:02:31] ggfyyggf: ตั้ม
[0:02:33] aosoti: ไม่รู้
[0:02:33] Nakanin_85: ไม่รู้
[0:02:35] nattapon_deesut: ยัง
[0:02:36] poomtanwa: 1412
[0:02:37] zinladyy: ไม่รู้
[0:02:37] ck9rider: 1412หรอ
[0:02:37] asurahehe: ยัง
[0:02:37] piriyapattp: 14….
[0:02:39] bigdell09: ยัง
[0:02:39] flukfrik: อะไรครับเนี่ย
[0:02:39] puttakun123: ไม่รู้
[0:02:40] AutoQ_TV: หมอไง
[0:02:40] aingyr: ไม่รู้
[0:02:41] k1tthidec1: ยัง
[0:02:42] yugizza: ไม่รู้
[0:02:42] nqueenbee: รู้ตอนนี้แหละ555
[0:02:42] 3sofree: ไม่รู้ๆ
[0:02:43] sin_888: 1412โปรอะไรครับ
[0:02:43] mindnakub99: 1412 ครับ พวกๆไอบอลมันเองแหละ
[0:02:46] forcezcnx: ไม่รู้
[0:02:47] musucra: ยังไม่รู้
[0:02:48] xp___px: คนที่ชอบทำคลิปโปรลงในค่ายแดงไง
[0:02:49] cookies_xx: กำลังจะรู้จากพี่นี้แหละ
[0:02:50] sabo_2001: เรื่องไรหรอครับ
[0:02:50] nut_er: rebirthztvAroi
[0:02:52] my__45: สวัสดี
[0:02:52] iamniwkoysocutiee: iamniwkoysocutiee subscribed at Tier 1. They've subscribed for 5 months, currently on a 4 month streak! rebirthztvLove
[0:02:54] gumod123: ไม่รู้ครับ
[0:02:54] by_max737: มาๆรำกัน
[0:02:54] nadetpaknam: ดีค้าบลุง
[0:02:54] silla81: ใครอะ
[0:02:56] Yo_yoach: เอาดีดี๊
[0:02:59] warcontv: เอาดี พี่มาเร็วมาก
[0:03:01] suparueknon: ดีครับพี่
[0:03:01] kanabe_08: ดีครับ
[0:03:02] dek_pun: ออาดี
[0:03:02] TIM_Enjoy_Today: 1412ไงลุงไม่อยากเอ่ยชื่อ
[0:03:03] lionwisdom: ไม่พาดพิงล่ะกัน เะราะยังไม่รู้
[0:03:04] legen_dary90: วันโฟรวันทรู
[0:03:11] stampdark: ดีครับลุง
[0:03:14] justzezathink: มีไรอีกละ ไมตาแก่มาเร็วจัง
[0:03:17] OwenDekD: ทุกคนพิมพ์บอกแล้วไง14..
[0:03:18] babynoop: ไม่พาดพิง
[0:03:22] shisuirx: ไฟเขียว jakoc 555555
[0:03:24] dtrknsis: ไม่รู้อีกละ
[0:03:26] piriyapattp: เอ้า55555
[0:03:29] kaijeawmookob: สรุปไอ้บอลตอแหล
[0:03:34] achira_2006: achira_2006 subscribed at Tier 1. They've subscribed for 5 months! 5เดือนแล้วครับลุงง rebirthztvLove
[0:03:35] Onsupness: อ้าวววววว55555555
[0:03:39] bu3blee: ไม่รู้ 🤷‍♂️
[0:03:39] dek_pun: สรุปยังไงนิ
[0:03:39] pai122p: ท้ายคริปทักลี่บอกจะส่งให้ลุงอะ
