[0:02:57] finixnover: สวัสดีครับ
[0:03:00] SECHZEHN_: สวัสดีครับ rebirthztvLove
[0:03:00] ZERAXhakoi: ดีครับล
[0:03:01] NongBoom_naja: ดีค้าบบ
[0:03:02] monkeythz: คอมเอส
[0:03:02] jirayu_kongporm: ดีค้าบพี่เอส
[0:03:02] purple_moon_iusupczz: @assakorn สวัสดีครับ rebirthztvLove
[0:03:03] arm313131: ดีครับ
[0:03:03] chotpong123: ดีครับ
[0:03:04] finixnover: LUL LUL LUL LUL LUL
[0:03:04] OvEl2DoSe: @purple_purple_iusupczz เสื้อเราจะทันไหมมม 555
[0:03:05] chalit_t: หลังจากนี้ รุ่นใหญ่เขาเล่นกัน 😍
[0:03:05] onfire_na: ดีครับลุง
[0:03:06] ooosssrr: สวัสดีครับ
[0:03:06] seebase01: ดีครับ
[0:03:07] tachasit_2549: สวัสดีครับ
[0:03:07] kitsdakongpanya: ดาบงานไว55
[0:03:08] ractha: สวัสดีครับ
[0:03:08] i_am_wedday: สวัสดีค้าบลุง
[0:03:08] monkeythz: คอมพี่เอส
[0:03:08] Nightbot: i9 7900x gtx 1080ti Ram 32gb 3200 m.2 960 pro 512gb ssd samsung 960 pro 512 x2 psu tt 750w rgb case core P5 ชุดน้ำเปิด
[0:03:09] lutfigamertv_01_: •| ดีค้าบ | พี่ เอส | พี่ @purple_purple_iusupczz |•
[0:03:09] seiryu_005: สวัสดีครับ
[0:03:10] FewwXD: @purple_purple_iusupczz ดีครับพี่ซุป
[0:03:11] kr_fiw: SeemsGood
[0:03:11] gift_sasithon: หวัดดีลุง
[0:03:13] NattawutAof: สา สา สา หวัดดีค้าบบบบบบ
[0:03:14] kantv7014: ดีครับบบบ
[0:03:14] tekung2012: HeyGuys HeyGuys
[0:03:17] joe_trw16: หวัดดีครับลุง
[0:03:18] taozzy112233: ดีครับพี่เอส
[0:03:18] nookkieiiz: สวัสดีครับพี่เอส
[0:03:19] natdanai_1150: Kappa
[0:03:20] chokeyyyyy: ซาซาซาหวัดดีครับลุง
[0:03:20] jeda_708: สวัสดีครับ
[0:03:21] IcezyBlueII: rebirthztvPlease rebirthztvPlease
[0:03:22] purple_moon_iusupczz: @ovel2dose ถามเจ้ในกลุ่มสิ StinkyGlitch
[0:03:24] boatkenzo: ดีคับ
[0:03:24] nax0091: 1111
[0:03:24] ghh_jss: NotLikeThis
[0:03:25] gus2y: สวัสดีครับพี่เอส
[0:03:26] ffchgm_may: สวัสดีครับลุง
[0:03:26] jiravut_leo: สวัสดีค้าบบ
[0:03:27] fbinot1: ดีค้าบ
[0:03:31] sing_nongtraud: วันนี้เดือดแน่ๆ❤❤
[0:03:31] purple_moon_iusupczz: @lutfi_man ดีจ้าลูฟี่
[0:03:32] filmzx_2005: ดีครับลุงงงงง
[0:03:32] chawanwit759: สวัสดีครับ
[0:03:33] mark7783: ดีครับพรี่เอส
[0:03:33] finixnover: daimar1Daimaru daimar1Daimaru daimar1Daimaru daimar1Daimaru
[0:03:34] mogun_rgb555: ดีครับพี่เอส
[0:03:35] MONARCH447: @purple_purple_iusupczz พี่ซุปดีค้าบ
[0:03:36] merrinmo_08: ดีค้าบพี่เอสส
[0:03:36] i_am_wedday: @purple_purple_iusupczz ดีครับพี่ StinkyGlitch
[0:03:38] nez901: ดีคับ
[0:03:38] jakkrit_23: ดีค้าบบลุง
[0:03:39] tinnapopxx: ดีค้าบบ
[0:03:40] 게이리: สวัสดีครับ rebirthztvPlease rebirthztvPlease
[0:03:41] FewwXD: @purple_purple_iusupczz ดีครับพี่ซุป
[0:03:41] ba_furu: สวัสดีครับ
[0:03:41] nasron__suemae555: หวัดดีครับพี่เอส
[0:03:41] purple_moon_iusupczz: @bwwwwwwwwwwww ฟิวดีจ้า
[0:03:43] sademaron_posseber: HeyGuys
[0:03:43] apiruk193: ดีค้าบบบลุง
[0:03:43] chawanwit759: StinkyGlitch StinkyGlitch StinkyGlitch
[0:03:43] ZERAXhakoi: rebirthztvAfk rebirthztvAfk
[0:03:43] ta_guy: สวัสดีครับพี่เอส
[0:03:44] boonchux: ดีเคิ้ปปป
[0:03:44] lil_sf: สาศาวัดครับลุง
[0:03:45] finixnover: ดีครับพี่เอส
[0:03:45] natdanai_1150: KevinTurtle
[0:03:47] mogun_rgb555: @purple_purple_iusupczz ดีครับพี่ซุปป
[0:03:49] bigbosszx01: ดีค้าบ
[0:03:49] anwabaero: เพลงอะไรครับ
[0:03:50] Chetsada22: สวัสดีคับ
[0:03:50] thanakrit__jubjub: เม้ง
[0:03:52] Natawat_James: ดีครับ
[0:03:53] purple_moon_iusupczz: @monarch447 สวัสดีครับบอล rebirthztvLove
[0:03:53] choku5545: ดีค้าบบพี่เอส
[0:03:53] viper_0022: คนที่135
[0:03:54] ZERAXhakoi: แจ้งปุ้ปมาปั้ป
[0:03:56] YEEZY_YZ4: d cub lung mc
[0:03:59] peesoza: GivePLZ GivePLZ
[0:04:00] man_god77: ดีครับ
[0:04:00] sealwct: สวัสดีครับ
[0:04:01] jakkrit_23: วันนี้มีอะไรเดือดๆให้เห็นแน่นอน
[0:04:01] k_kingluay: เปิดDGมั้ยลุงวันนี้
[0:04:02] vavat2n: ดีคับลุง
[0:04:05] purple_moon_iusupczz: @wedsmk สวัสดีครับเวด rebirthztvLove
[0:04:06] 게이리: 
[0:04:08] viper_0022: rebirthztvSunn
[0:04:10] PaoAres: 135เหมือนกัน5555
[0:04:10] srwqeh23: ดีครับ
[0:04:12] mbp416: rebirthztv10
[0:04:12] peesoza: สวัสดีค้าบบอท
[0:04:13] FARAJOB: ตั้งตารอเลย
[0:04:13] sirirak11: กกต
[0:04:13] Nightbot: กองกำลังตู้! Kappa
[0:04:15] maxnum_099: ดีคับลุงCheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1
[0:04:16] purple_moon_iusupczz: @bwwwwwwwwwwww ดีฟิว
[0:04:21] thanyathon771: มาแล้วค้าบ
[0:04:22] knight_901: ดีคับ
[0:04:23] thatchai_17: rebirthztvSunn rebirthztvSunn
[0:04:24] arm__2005: ดีค้ายบ
[0:04:24] oat_liberty: ดีคับ
[0:04:28] PandarKung: รอเสื้อไม่ไหวแล้ว
[0:04:29] toptapfc: ดีครับ
[0:04:30] nxpaz: ดีฮ้ะพี่เอส
[0:04:32] tyk49: ดีคับ
[0:04:32] NaTad1849: ดีครับ
[0:04:32] por52: ดีคับ
[0:04:32] pug_2550: ดีฮับลุง
[0:04:32] MONARCH447: ดีค้าบพี่เอส
[0:04:32] purple_moon_iusupczz: @mogun_rgb555 โมกุนดีจ้า rebirthztvLove
[0:04:35] jirawat34: 💕💕💕💕
[0:04:35] butters4252: ดีครับ
[0:04:36] natthapong0921: ดีครับ
[0:04:37] assakorn: สวัสดีครับพี่เอสสสสสสสสส
[0:04:38] 42OOG_: หวัดดีค้าบบบ
[0:04:38] stnang2005: ดีค้าบบบ
[0:04:39] jakkarin123456: HeyGuys HeyGuys HeyGuys HeyGuys
[0:04:39] phutthicha: <3 <3 <3
[0:04:39] sirawit_chel: ดีค้าบ
[0:04:40] ggneiei8838: Kappu
[0:04:40] viper_0022: ผมลืมแฟนเก่าไม่ได้ทำไงครับ
[0:04:40] nk_film: ดีค้าบบ
[0:04:41] PaoAres: ดีครับลุง
[0:04:42] fujkikki: ดีครับ
[0:04:42] phurinat2546: rebirthztvTueng
[0:04:42] 528752578999754: SeemsGood
[0:04:42] Mitnotx: hi HeyGuys
[0:04:43] poorinnnnnn: HeyGuys
[0:04:43] Arnon_IsChannel: ดีค้าบบบบ
[0:04:43] attemp_: ดีง้าบบบ
[0:04:44] por52: <3 <3
[0:04:44] stamp_oopshot: ดีค่าบลุง
[0:04:44] kollawattt: ดีครับพี่เอส
[0:04:46] mbp416: rebirthztvCritical_TK
[0:04:48] lukababyboy: ดีคับ
[0:04:48] purple_moon_iusupczz: @cosmic_kk เคดีจ้า rebirthztvLove
[0:04:49] 0628941153: สวัสดีครับลุง
[0:04:50] thanyathon771: ดีค้าบ
[0:04:51] purin_2002: PowerUpR GlitchCat PowerUpL
[0:04:51] NAnaTt_: ดีค้าบสุดหล่อออออ
[0:04:51] SawattK: ดีฮ่ะอาตี๋
[0:04:52] Paipypy: ดีค้าบบบ
[0:04:55] purin_2002: PowerUpL GlitchCat PowerUpR
[0:04:55] sunday4455: พี่ครับปลาหมึกยักษ์มีจริงไหมครับ
[0:04:56] Mickey_Commander: สวัสดีครับพี่ S
[0:04:57] thanakrittttt0001: ดีฮับบบบบบบ
[0:04:57] viper_0022: rebirthztv5555
[0:04:57] 248gb: SeemsGood SeemsGood SeemsGood SeemsGood
[0:04:57] RANKEZCG: BibleThump
[0:04:57] s_i_r_f_i_l_e: rebirthztvTueng_BW
[0:04:57] Stamp0102: ดีค้าบ
[0:04:57] nasruddeen3536: หวัดดีครับพี่เอส
[0:04:58] movann: ดีครับ
[0:04:58] pongtorn01: ดีครับพี่ไมค์โอ่ง
[0:04:59] prem200444: สวัสดีครับพี่เอส
[0:05:02] unmail_zen: ลุงเสื้อมากี่โมงเหรอคะ พรุ่งนี้มีเรียนกลัวกดไม่ทัน
[0:05:02] toptapfc: วันนี้เดือดเเน่
[0:05:02] FARAJOB: ดีครับบ
[0:05:02] feixwingut: หวัดดีครับลุง
[0:05:06] finixnover: สวัสดีครับ
[0:05:07] peerapon097: TransgenderPride PoroChop
[0:05:08] poorinnnnnn: FailFish
[0:05:09] mbp416: rebirthztvB
[0:05:09] saifa_m: BigPhish
[0:05:10] queuezaza00: สวัสดีครับลุง
[0:05:10] rabbit_t_: 55
[0:05:11] tangtang3789: Squid1 Squid2 Squid3 Squid2 Squid4
[0:05:12] Natthawut_Oppa: มาละะะ
[0:05:12] notq3: rebirthztvMc
[0:05:12] nuball_1974: สวัสดีครับลุง
[0:05:14] chawanwit759: LUL LUL
[0:05:14] minip__: LUL LUL
[0:05:15] supanit_: สะ หวัด ดี ครับ ผม
[0:05:15] eakkon999: ดีครับบ
[0:05:16] PaoAres: ลุงโดนผญขึ้นรถหรอครับ
[0:05:17] buychwy_nay: ดีครับสุดหล่อบ่อดิน
[0:05:17] MONARCH447: HeyGuys HeyGuys
[0:05:17] glacame: ดีคับพี่จุก
[0:05:18] phongphia: เเม็ค เหินโหลก
[0:05:18] ball_04: ดีคับพี่เอส
[0:05:18] katay_kingkittisack: ดีค้าบบ
[0:05:18] Mitnotx: SeemsGood SeemsGood
[0:05:18] animal_ch: boybssBOY1 boybssBOY1 boybssBOY1
[0:05:20] ARMWONGSATHORN: HeyGuys
[0:05:20] tewit191: ดีครับลุง
[0:05:20] jakkrid02020: SeemsGood FootYellow GlitchCat
[0:05:21] evilblackguy009: หวัดดีครับ
[0:05:21] aiii_bonnn: ดีครับ
[0:05:22] e_rk00: หวัดดีคับพี่จุก
[0:05:23] MONARCH447: 5555
[0:05:23] mzaayi: ดีคับ
[0:05:23] kayk2545: Kappa Kappa
[0:05:25] bapeflexz: bapeflexz subscribed at Tier 1. They've subscribed for 9 months! สวัสดีคับอาตี๋
[0:05:25] polkrit45: สวัสดีครับ
[0:05:25] nunut6869: อาเฉินต้องได้แทง DG
[0:05:26] shokun112007: ดีครับลุง
[0:05:26] Natthawut_Oppa: เตรัยมหูนะค้าย
[0:05:27] s_i_r_f_i_l_e: rebirthztvTueng_BWดีครับ
[0:05:28] nasruddeen3536: หวัดดีครับลุง
[0:05:28] toeyhub10: ดีค่าบบ
[0:05:29] bas2002_: ดีครับพี่เอส
[0:05:29] jetni_phat: หวัดดีคับลุง
[0:05:29] yhong_suttiengsut: โว้ดี
[0:05:30] TheeraDate123: rebirthztvPlease
[0:05:31] mbp416: rebirthztvThae
