[3:03:21] punpanlvp: ลุงไห้ยืนเป็นแถวอ่ะคับ แล้วเต้นไห้พร้อมกันคับ
[3:03:21] itmethorfhun: ทวิตเปลี่ยนอ้อ
[3:03:23] khinglikeyme: ลุงทอมไม่เปลี่ยนจริงๆ
[3:03:23] xsemagutoi_: จบกับsatแล้วหรอครับแชท
[3:03:24] momixza: เกาะหายป่าวลุง
[3:03:24] BoyZ_NoBoody: ชอบๆๆๆๆๆๆ
[3:03:24] pun__99: 54545555
[3:03:24] warunyu4245: จ๊ะ จ๊ะ จ๊ะ
[3:03:25] bbeamzx_: ทวิตสบายตา
[3:03:26] pluem_wongsakorn: ไอ้ต้าวแวนมาาา  ❤️❤️❤️
[3:03:27] jakkapol_257: เพลงไรคับแชท
[3:03:27] manit25: NTRแดน
[3:03:28] zeelix18: ลุงเริงดีเลครบแล้วเลยเที่ยงคืนแล้วลุงงงงงงง
[3:03:28] prazadinz0z: 55555555555555
[3:03:29] s1lviaaa: สมิงโก้ 5555
[3:03:30] amanotakuakie: สวย
[3:03:30] gasopas1: ลุงทอม โอเค
[3:03:31] jaotuy: ทอมok
[3:03:31] worachet0639707134: ลุงทอมโอเค
[3:03:31] GuPX4T: แลเวลุงทองกูฉอเค455555
[3:03:31] samsolonm11: ทอมok
[3:03:32] Justmanow: ทอมok 5555
[3:03:32] o1tin_o: Tom OK
[3:03:32] 18kk8: โมโหชอบบบ
[3:03:32] siElTA: เฮิ้ปๆ
[3:03:32] toby_ming: @momixza รี
[3:03:32] softwqre_: มโหฬาร5555
[3:03:32] ueioxwi: ลุงทอม55
[3:03:33] sgaper: !uptime
[3:03:34] Nightbot: Stream uptime 3 hours, 3 minutes, 42 seconds
[3:03:34] godzillaox: #ลุงทอมok
[3:03:34] Blackcoff_ch: ทอมโอเค
[3:03:35] gottsss: ลุงทอม ok
[3:03:35] jirxwat_: ลุงทอม โอเค
[3:03:36] zeeskyxd: ละดูsatนั่งคุกเข่า
[3:03:36] mildddzz: สะสึโก้
[3:03:36] neverdie_1992: 5555555555555
[3:03:37] jetsada70: ทวิตแปลก
[3:03:37] dachachai989: ลุงทอมok
[3:03:38] arshiwynternelboy: ทวิตแบบใหม่หรอ
[3:03:39] zsasztv9: 5555555555
[3:03:39] safenornna3: ขำลุงทอม5555
[3:03:39] redwilson_: 5555555
[3:03:39] hibari1412: ทอมOK
[3:03:39] snowball_r: เพลงหน้าjakรถแห่
[3:03:39] khaet: ลุงเริงพร้อมยัง555
[3:03:39] shaggyyut: อันนี้ทำอะไรหรอครับพอดีพึ่งมา
[3:03:40] 101perc: 555555
[3:03:40] jkrowling48: LUL LUL LUL
[3:03:41] zimbubwaye: ลุงทอม ok 555
[3:03:41] i_am_wedday: 5555555555
[3:03:41] methan_bokhuntod: ลุงทอมok
[3:03:41] bktzx1_: OVER แดีนซ์
[3:03:42] chad015556: ลุงทอมok
[3:03:43] pa9hapashu: 55555555555555
[3:03:43] jesada007: ลุงทอมok
[3:03:43] jaoyiss_tv: แซวน้าๆๆ
[3:03:45] nanthawatx2001: ลุงทอมมม
[3:03:45] t4nbn77: 5555555
[3:03:45] AIZENKONGJONE: ทอมโอเค อย่างชอบ
[3:03:45] haron_egg: ลุงทอมok
[3:03:45] moskorawich: Tom OK
[3:03:47] wichan29: 55555
[3:03:47] sensezf: 555555555555
[3:03:47] thanpisittide: ลุงดลุงทอมยืนเท่จัด555
[3:03:48] top_kritsana: 55555555
[3:03:49] krachaeo: 555
[3:03:49] zoe4qx: 555555
[3:03:49] PURIPATYOO: ดึงดาว5555
[3:03:49] dew_ezy: 5555
[3:03:50] jawitts: LUL LUL
[3:03:51] serphirothz1: ทวิต ขาย TAKA  DG ครับลุงงงงงงงงงงงงงงงงง
[3:03:52] dxholly: ค่อมจังหวะ5555
[3:03:52] natthakon_: 555555
[3:03:52] real_chillz: 555555
[3:03:52] dk_hi: 5555
[3:03:53] thenewfantarznocomment_bm: 55555
[3:03:53] charlchanoks: ลุงทอมก็ยังโอเคเสมอ55
[3:03:53] patiparn55: 55555555
[3:03:53] lucifer_max666: OK
[3:03:54] baithom_: !uptime
[3:03:54] thanarat1899: ทอมOK
[3:03:54] xvxivixviiiixxiv: 5555
[3:03:54] apiwat141265_: ฮาอาตี๋5555
[3:03:54] nanon56: กัวร์55555
[3:03:54] Nightbot: Stream uptime 3 hours, 4 minutes, 3 seconds
[3:03:55] oatchaichu: ทอม OK
[3:03:55] esther_fky13: 55555555555555555555
[3:03:55] filmdob: จ่ะๆ
[3:03:56] Calos_nathany: 555555555555555555555
[3:03:56] sudkhetkung: วอแวๆ
[3:03:57] karmui_z: ล่าสุดชวนเขาเต้น55555555555
[3:03:57] IceageXscart: น้าาาาา
[3:03:58] Toonz_Kn: ลุงทอมOK 555555555
[3:03:58] numaii_: ดูSatเต้น5555
[3:03:59] jr_juniorrr: ทอมok
[3:04:00] JUJ1NGY1: ท่าผช.sat
[3:04:00] pun__99: ):
[3:04:01] sugarypete: ทอมOKOKOKOKOK
[3:04:01] Gupolpp3: ลุงเงียบๆ ไปขี้แน่เลย5555
[3:04:01] VespoCHOCO: สภาพพ 55555555
[3:04:02] BabyWassupz: 5555555555555ละเต้นตรึม
[3:04:02] nostalgia_luvu: ทอมok
[3:04:03] s_hinnx_: เบิตสอยดาว55ฃ
[3:04:03] jaotuy: วอเเว
[3:04:03] armmy_22: วอแว
[3:04:04] moonnnnnnn00: เพลงนี้เสียงโคตรเหมือนลุง
[3:04:05] 1_tan55: ลุงทอมok
[3:04:05] wsn_tumm: แหมวอแววว
[3:04:05] jwrnsqi: ลุงทอม ok
[3:04:05] danaipong16: ท่า sat 5555
[3:04:06] s_baworn_99: ลุงเลิงคงคิดว่ารู้งี้มาjakนานละสนุกจัด55
[3:04:06] ashrof_2545: ทอมโอเค
[3:04:07] jjoyce05: sat หัวน้ำเงินท่าโคตรได้5555
[3:04:07] zazayoy11: ในแชทส่วนตัวส่งให้ดูล้ะ
[3:04:07] Pantagan_02: ศพพยายามโยกอยู่5555
[3:04:07] mycactus6206: น้ากุดึงดาว 55555
[3:04:08] prakon_max: ลุงทอมมมมมมมม
[3:04:08] bomss: LUL
[3:04:08] gino2549: ลุงทอมOk
[3:04:08] p_peekaboo: 555555555
[3:04:08] Darlinglz: 55555
[3:04:10] ax_acr: OK
[3:04:10] arshiwynternelboy: ทวิตแบบใหม่
[3:04:10] bobbey_by: ดูท่าเต๋อย5555
[3:04:11] hades66gamelive: ท่าเสาร์อาทิตย์5555
[3:04:11] 9zerobetex: เกือบตายย
[3:04:11] thanathip_4: ลุงทอมม
[3:04:12] jittakorn_22: เป็นศพอยากเต้นนน
[3:04:12] Dullyindy: 555555
[3:04:13] seenwesley: เกือบตาย
[3:04:13] mahooomes: แซวกระดูกคนละเบอร์หน่อยครับ
[3:04:16] kimtantee: 👌🏻
[3:04:16] Kanakorn_8: ทอมOK
[3:04:17] flexion_mystic: satก็เอากะเค้าด้วย55555 ขอบๆน่ารักๆ
[3:04:19] chaxem44: เฮิ้ปๆ555555
[3:04:19] gsss44n: o k
[3:04:20] ongard12345: rebirthztvLucas rebirthztvIQ200 rebirthztvIQ200 rebirthztvAceJunior rebirthztvAceJunior
[3:04:20] zxrqc7: ทวิตใหม่หรอ
[3:04:23] tang_3357: เจ้แฟรงด้วยป่ะ
[3:04:25] allbl4ckz: วันนี้วันเกิดพ่อผมครับ อวยพรผมหน่อย
[3:04:26] jasper___1: กระดูกคนละเบอร์
