[0:02:06] ezxtv: ดีค้าบบบ จุง
[0:02:06] khfew: ดีค้าบลุว
[0:02:06] petanque85: ดีครับ
[0:02:06] wiraphon2499: VoHiYo VoHiYo VoHiYo VoHiYo
[0:02:07] jengrubjob: ดีครับพี่เอสสสส
[0:02:08] tonykoo7: วันนี้ต้องเอาหน่อยครับคุณลุง
[0:02:08] kennyyesss: ดีครับพี่เอส ลุงเเม็ค
[0:02:08] e_i_r_k_x_d: rebirthztvBaby rebirthztvBaby rebirthztvBaby
[0:02:09] chotiwat_12: ดีค้าบลุงง
[0:02:09] thirakamon1234: ดีครับ
[0:02:09] ice_ttu09: ดีครับ
[0:02:09] ATMOSXZ_: สวัสดีครับพี่เอสสสส
[0:02:09] jamejongjang: คนแก่มีไฟ 🤣
[0:02:10] peess1234: ดีค้าบบบบบ
[0:02:10] nineky01: เย้ๆๆๆๆๆๆๆ ลุงผมมา
[0:02:10] xtomkruz: โจ๊ะๆๆๆๆ
[0:02:10] achira__1: ดีน้าบบ คนมีไฟ
[0:02:10] ibuprofen_flavor: jackey9Heartkub
[0:02:11] tjexe5029: rebirthztvTadaeng rebirthztvTadaeng rebirthztvTadaeng
[0:02:12] OvEl2DoSe: ดีคับทุกคนนนนนน
[0:02:12] iceprat: ดีค้าบ
[0:02:12] Beam_JNM: ดีค้าบลุงง
[0:02:12] lololo12345678lo: ดีครับ
[0:02:13] Arnon4123: rebirthztvPlease rebirthztvPlease
[0:02:13] anawat_2004: ผมติดโควิดๆๆๆๆๆๆ
[0:02:14] jadsadaa: คนแก่มีไฟ555
[0:02:14] vextorcion: OSFrog OSFrog
[0:02:15] dream54545: หวัดดีครับ
[0:02:16] cjit0811: ดีครับ
[0:02:16] thanakit_0: ดีครับพี่เอส
[0:02:16] krxt__4747: ดีคับลุงงง
[0:02:17] 0909643101: ดีค้าบลุง
[0:02:18] supakij_mos: !uptime
[0:02:19] dekhonestlyf: รึว่าลุงจะไม่หยุดเลย ทีไฟแน่
[0:02:19] bi_kabb: ดีครับบบบ
[0:02:19] SegMenTsdG: คนมีไฟ GlitchLit GlitchLit GlitchLit
[0:02:19] Yulia_hs: ลุงมีไฟ CurseLit
[0:02:19] Nightbot: Stream uptime 2 minutes, 25 seconds
[0:02:19] redwilson_: อาสุธกี่คนละะะะ
[0:02:20] asdwzxc112233: สวัสดีคับพี่
[0:02:20] netsomboon1: โควิดบ่นิ
[0:02:20] do_zox: dkub
[0:02:22] wasabi2537: หวัดดีคับผมอ่ะอื้ม BegWan
[0:02:22] j_sanya: rebirthztvHuh
[0:02:22] xKAPOKMAAx: แย๊ๆๆๆ
[0:02:23] black_nakharin: สวัสดีดีครับพี่เอส
[0:02:24] kratoy49: ดีน้าบ
[0:02:25] hshehehhewnn2: D cub p eat
[0:02:25] PPxmonaliza69: ลุงไปหยกวันไหนครับ
[0:02:25] asrw9999: สวัสดีครับลุงงงงง
[0:02:26] wiraphat_2208: ดีค้าบบ
[0:02:26] ponser999: rebirthztvJak rebirthztvJak rebirthztvJak
[0:02:27] to8636: ดีครับบบบ
[0:02:27] flukeflipflowfive: ดีครับลุง
[0:02:28] anas_ut: @ovel2dose ดีค้าบพี่เลิฟ
[0:02:28] PONGPAT1204: ดีครับผม
[0:02:30] eemron2007x: ดีครับ
[0:02:30] FIRSTOzoneTV: awDFQWfqwf
[0:02:30] tawankantanann: ดีครับ
[0:02:30] apiwat_07: rebirthztvLove rebirthztvLove rebirthztvLove
