[0:31:22] 狐爪: ホルモンとか1番飽きそう
[0:31:24] だーすだよ: いいなーー
[0:31:25] papapapupepon: ホルモン弁当よく食べてるけど全部同じところか
[0:31:27] hachiko0000: 教えてほしいえ
[0:31:31] wolf_vltt: どこの?
[0:31:31] nsgrn__: ホルモンには酒だ！
[0:32:02] papapapupepon: 塩とタレどっちかえ？
[0:32:05] とらまり: そういえばこの前あげころちゃんの言ってたカスタムマック食べた？
[0:32:22] nsgrn__: プリズン60は長いえ～
[0:32:33] zlep__: はやく対応するえ
[0:32:45] hachiko0000: 可愛い救急隊の子呼んでほしいえ
[0:32:52] KABAYAKIGG: これ100分コースだぇ
[0:33:22] nsgrn__: 移動前に救急に連絡を、、
[0:33:29] 海老フライマシンガン: 食ってる時のチャルは寛大だえ
[0:33:51] さんたろ30229: 大好物はホルモン弁当
[0:33:56] hachiko0000: お腹空いてきたえ
[0:34:02] ちゃそちゃ: 咀嚼音すごい良きやね
[0:34:13] wolf_vltt: 濃いお茶すき？
[0:34:35] ichisanniiroku: ひの！らん！だえ！
[0:34:39] nsgrn__: でたｗ
[0:34:57] gundora23: まだトラック野郎かｗ
[0:35:18] らんぱ: トラック野郎がデフォになってきた
[0:35:19] zlep__: いつもトラック野郎w
[0:35:38] yossy_island23: なんかいるな
[0:35:39] ichisanniiroku: あれｗｗｗｗ
[0:35:41] hachiko0000: あれ？
[0:35:42] らんぱ: あ
[0:35:45] zlep__: あかぎ？
[0:35:46] さんたろ30229: 聞いたこと、、あっ…
[0:35:48] KABAYAKIGG: 赤城？
[0:35:49] Kaminagi_TKP: 週末なのになぁ
[0:35:51] にーとろる: なんか聞いたことあるな
[0:35:52] くうれい: お！ついにｗｗｗ
[0:35:59] iytreszhii: え？だれ？
[0:35:59] しぇぱ3: ジェイクがいればなぁ
[0:35:59] らんぱ: 気づきのチャル
[0:36:01] うらしーま: ジェ…
[0:36:02] o5_oma: あれは……
[0:36:03] froyt_: ろぼ？
[0:36:04] Boukan_sha_: 餡ブレラ少ないな〜今日、
[0:36:06] れれらい: ジェ…
[0:36:07] SizRyuu: ジェク
[0:36:12] くうれい: 確認するのかwww
[0:36:24] hachiko0000: ジェwwwww
[0:36:27] indiansummer930: すんの船上での立ち回りが良かっただけに悔やまれるぇ〜
[0:36:30] 赤見二等兵: じぇ、い。。。
[0:36:36] gundora23: 誰だろうか
[0:36:37] nsgrn__: 恋人にしたい警察1位
[0:36:37] hachiko0000: 気のせいか
[0:36:43] かーくん_: 気のせいだ
[0:36:44] SizRyuu: あ
[0:36:49] ichisanniiroku: 気のせいか・・・
[0:36:52] だーすだよ: 気のせいうん気のせい
[0:37:03] Kaminagi_TKP: 似た人なんていっぱいいるしな
[0:37:03] tigersliker1967: 似てる人かw
[0:37:18] cullinan6800: まさかそんなわけあるはずがないえ
[0:37:40] hachiko0000: 音圧w
[0:37:40] zlep__: じぇ？
[0:37:41] tricluster: 音圧ｗｗｗ
[0:37:43] バブみわかりみありけり: おった
[0:37:51] ichisanniiroku: ももみてんてだえ
[0:37:54] バブみわかりみありけり: おっとと
[0:37:54] らんぱ: そんなわけね
[0:38:26] iytreszhii: もう大きいよ♡
[0:38:36] sushiboysomg: もうでかすぎるえ
[0:38:38] くうれい: 餡子くさいなぁここｗｗ
