[0:05:01] love_jak: ไม่สปอยนะงับบ
[0:05:03] purple_moon_iusupczz: @aadd9 ปามดีจ้า
[0:05:04] anas_ut: @uiojgu เพื่อ
[0:05:05] namegag2243: ยานอนหลับช่วยคุณได้
[0:05:05] bassssshs: ผมขออนุญาตสปอย วันนี้อ่ะไรคับผมไมุรู้ครับ
[0:05:06] DeeKub_G: จะสปอยกันเพื่อ
[0:05:08] PRD_RB: @purple_purple_iusupczz พี่ซุปดีค้าบบบ rebirthztvLove
[0:05:10] flappawat: ห้ะ
[0:05:11] abarss0: ลุงหวัดดีครับบบบบบบบบบบบ
[0:05:11] uiojgu: ลุงเติมป่ะล่ะหลับเลย
[0:05:12] tapooh: อยากเล่นGTAต้องทำไรบ้างหรอครับลุงคือผมกำลังเก็บตังซื้อคอมอยู่ผมขอคำแนะนำหน่อยค้าบลุง
[0:05:12] estarwut: ตกใจเห้ออออออออ
[0:05:12] ghostyxno1: rebirthztv5555 rebirthztv5555
[0:05:13] na_wink: @zipponuneza สปอยทำไมเอ๋อไรครับ
[0:05:13] fc__rbztv: rebirthztvHurt
[0:05:14] Hearttoyo: พอใจแล้วนะพวกสปอย
[0:05:14] mnguih: 5555
[0:05:16] purple_moon_iusupczz: @digreally สวัสดีจ้า LuvCool
[0:05:16] disneyzamak: ไม่ตายถาวรหรอ ลุง
[0:05:17] cavetko: 5555
[0:05:17] sirapop_2788: หูแตกก
[0:05:17] job2552: ทำใมอาาาาา
[0:05:19] zerohowva: ดุ้งเลย
[0:05:21] zozozoozozzozozozozoz: เย้ๆๆจุกเอ้อเเล้ว
[0:05:21] boonmeeiamsaclean: ดีค้าบ
[0:05:21] fahhz: Kappa
[0:05:21] contact_8888: อ๊าากตกใจจัง555
[0:05:21] tarnell_live: สวัสดีครับลุง
[0:05:24] nightmoon_n: ต้องบินเเล้ว
[0:05:24] peesoxa2345: หูแตก
[0:05:25] nnitsupa: @purple_purple_iusupczz PrideFlower
[0:05:27] EMWILD_: Kappa
[0:05:27] crossxdevile: ลุงวางมือละเตรียมไปล่าเสืออยู่ในป่า55
[0:05:28] soryuth1: rebirthztvSunn
[0:05:29] purple_moon_iusupczz: @darling_xd สวัสดีฮ่ะ rebirthztvTew
[0:05:29] pjijrw: พี่เอสได้คนตัดคลิปหรือยังครับ
[0:05:29] alifzp: สวัสดีครับบ
[0:05:30] night0124: ทำไงให้ชินกับเสียง555555
[0:05:30] gith_5555: ลุงไม่ได้ฆ่ากลัวไร5555
[0:05:30] baskung_kun_jane3_omg_ja_: ลองครับลองนอนแบบคนปกติ
[0:05:30] itzpaiizz: 5555555
[0:05:31] nfydt: ผมรอตั้งนานเลย
[0:05:32] midfild: ตายถาวรไหมลุงงงงงงง
[0:05:34] 3elxbelx: 55555
[0:05:35] job2552: ทำไม
[0:05:36] timmerxxxea: ดี
[0:05:36] iam_pearry_pattaranun: 5555
[0:05:37] dunyawat_title: 55555
[0:05:37] ha_na_mi_: สวัสดีครับพี่เอส พี่ซุป rebirthztvLove rebirthztvPlease
[0:05:37] THEI3oosGuxiiii: ขนาดได้ยินมาเป็นปียังตกใจ
[0:05:38] pongsakornsss: I Love Tu
[0:05:39] cootsam: เด็กร้องกันระงม
[0:05:39] tangkubbbbb: ดีไ
[0:05:40] zipponuneza: สงสารน้อนเหม็นหมักหมม
[0:05:40] pancake_1112: เพราลุงง่วง
[0:05:42] mnguih: 55555
[0:05:43] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:05:43] MONARCH447: งั้นก็RIP จุก
[0:05:43] MaithaiJaitawan: LUL
[0:05:43] talukmom123: ทำไมไม่ไลฟ์ในยูทูปครับ
[0:05:44] khunvit: @purple_purple_iusupczz หวัดดีครับพี่ซุป jackey9JackeyDja
[0:05:45] nay_nps007: เย้ๆๆๆๆจุกตาย
[0:05:47] mnxnm___: @disneyzamak ถาวรดิรอไร
[0:05:47] purple_moon_iusupczz: @pharida_24 น้องเกรซสวัสดีครับ rebirthztvPlease
[0:05:48] cavetko: ลุงไปยืนดูเฉยๆพอครับ5555
[0:05:49] calos_loza: rip
[0:05:51] uiojgu: เติมไหมลุงหลับสบาย
[0:05:53] jo_beereiei: ถ้าตายนี้จะจบโรลอ้ะป่าวคับ
[0:05:54] marbo4256: rip
[0:05:56] seeeeeeeeeei: Cheer100ดีครับ
[0:05:58] iam_pearry_pattaranun: ร่างนี้ลุงก็เท่ห์นะเนี่ย55555
[0:05:59] GuSadTH: ลุงครับหวัดดีงับบบบ
[0:06:00] nioralone_777: r.i.p ดาราเหม็น55555
[0:06:04] ten_ten1010: @jo_beereiei จบ
[0:06:06] bigfatzxchannel: Melatonin ช่วยนอนหลับครับ
[0:06:06] kommark_k1: ดีคับพี่เอส
[0:06:06] peesoxa2345: จบ โล
[0:06:06] Anakin_XD: @talukmom123 เพื่อไร ทวิตโน1
[0:06:07] minggoooooo: 555555
[0:06:08] purple_moon_iusupczz: @khunvit วิทดีจ้า
[0:06:10] mekhinthrrrr: 555555
[0:06:11] canby1413: หวัดดีค่ะ
[0:06:12] Jackzgoboy: ดีครับลุงงงงง
[0:06:12] oomkoktoom3: ดีค้าบพี่เอส
[0:06:12] pairr__: ลุงไม่อยู่ แจ็คร่าเริง Kappa
[0:06:15] YazirKuechi: คือไรครับ เพิ่งมา
[0:06:15] job2552: เอ้า
[0:06:15] bank_rock101: ดีคับ
[0:06:16] rezeero: ตายก้จบ เเค่นั้น
[0:06:17] cohyool: 5555555555
[0:06:18] thanatip00: สวัสดีครับพี่เอส
[0:06:19] peachhub_: มีไรกันอะครับบบบบบบบบบบบ
[0:06:19] purple_moon_iusupczz: @nnitsupa rebirthztvAfk
[0:06:19] Paipypy: TriHard
[0:06:20] canby1413: !uptime
[0:06:21] Nightbot: Stream uptime 6 minutes, 40 seconds
[0:06:22] WinzBusy: @purple_purple_iusupczz พี่ซุปหวัดดีฮัฟ rebirthztvPlease rebirthztvPlease
[0:06:22] ameen2547: จุกทำไม่หรอไม่ทันแชต
[0:06:23] Jackerz4: สวย
[0:06:24] unknxwn_sss: ไม่มีละจุก Jak กลายเป็นจุก winter เหม็นละ
[0:06:25] beerky27: ลาก่อนดาราเหม็น
[0:06:25] lava_06: จบเรื่องไรครับ
[0:06:26] pongtorn09: ใครฆ่าจุกอะ
[0:06:27] SAUCEPIGz_1G: สวัสดีง้้าบบบบบ
[0:06:27] colazaaa: ดีคับพี่
[0:06:28] ha_na_mi_: !uptime
[0:06:28] minggoooooo: เเล้วลุงก็ลงแทน
[0:06:28] poom_siripoom: Ripดาราติกตอก
[0:06:29] Nightbot: Stream uptime 6 minutes, 48 seconds
[0:06:29] padkapoa: ลุงดีคับบ
[0:06:29] garteeh_roy: ม่ายย LUL
[0:06:29] MONARCH447: Rip จุกกรู้อีจู่
[0:06:30] aon007xc: ม่ายดารา
[0:06:31] 05beer: เอ้า เพื่อไรอ่ะแจ็ค
[0:06:32] sincure_: ขึ้นอยุ่ที่เเจ๊คสินะ
[0:06:33] pree111: ไม่ใช่ลุงหรอที่จบได้คนเดียว
[0:06:34] tewit191: ดีครับลุง
[0:06:34] purple_moon_iusupczz: @winz_xd สวัสดีจ้าวิน rebirthztvPlease
[0:06:37] gith_5555: ทะเลาะไรกันอีกก5555
[0:06:37] somin_mux: จบกัน ดาราเหม็น
[0:06:38] m_mentos_52: เย้5555
[0:06:39] THIPPLEX: บายๆนะจุกเราจะคิดถึงนายตลอดไป BibleThump HeyGuys
[0:06:42] akaralamoh: อัสลามมุอาลัยกุมครับ RitzMitz
[0:06:44] timmerxxxea: ดีครับชอบ
[0:06:45] w6666666666669: ทิมดังแล้วลุงดีใจกับน้อง
