[0:02:10] Diw_Trd: ไหนพี่เอสบอกว่าพัก
[0:02:11] tigher18: มีเรื่องอะไรอีก
[0:02:11] vitchaa: จ๊ากอิหยังอีก
[0:02:11] belugaeiei: อันนี้มีดราม่าหรอครับลุงถึงขึ้นสตรีม
[0:02:12] natthaphong6936: กำลังจะนอนเลออออ
[0:02:13] t_ps16: พักไหม
[0:02:14] friend_nimo: มีเรื่องไรอีกกกก
[0:02:14] vivoy2: มาดึกจัดด
[0:02:14] lilinkubb: ดราม่าอะไรอีก
[0:02:14] kanabe_08: ลุงจะมากี่นาทีครับ
[0:02:15] kan_kanokphon: โอเคเวลาไม่ครบแหละ5555
[0:02:15] artwoii: ล่าสุดมันเอาอีกแล้วน้าาา
[0:02:15] DELANEY_DAY: ละลุงไม่พักอะครับบ
[0:02:16] smoke1111444: @purple_moon_iusupczz เปล่า สงสัยลุงแกเมา 555
[0:02:16] pound22222222: ตกใจจ
[0:02:17] slow_cooks: ไม่ได้พัก
[0:02:17] puttipong168: อะไรอีกน้อ
[0:02:18] koaweerachat: เวลาไม่ครบหรา
[0:02:18] phanuwat2006: StinkyGlitch StinkyGlitch
[0:02:19] onelong_47: ดีครับ
[0:02:19] Tnk_pw: rebirthztvNhong rebirthztvNhong
[0:02:19] heuang7795: หวัดดีน้าบบบลุง
[0:02:19] nananas0623: ห่ะ
[0:02:21] OvEl2DoSe: มีไรหว่า
[0:02:21] pek5566: มีเรื่องอะไรกันหรอครับเเชท บอกผมที ตามไม่ทันดราม่าเรย
[0:02:22] zx_soice: ดีครับพี่ซุป
[0:02:25] san_razen: อ่าว
[0:02:26] r3kc: ลุงงคิดถึงจังเลยๆๆๆ
[0:02:27] joek200: ลุงแกน่าจะหลงวันอะแชต
[0:02:27] four_kub_: ละตื่นมาตอนนี้ด้วยดิ
[0:02:27] Herculess_X: เอาดี
[0:02:28] purple_moon_iusupczz: @smoke1111444 rebirthztvHa
[0:02:28] sorasak2313: ไม่พักหรอคับลุง
[0:02:28] 0844996322: ดีครับ
[0:02:31] c9rty: ห๊ะ
[0:02:31] callme_babyyy: ว่าแต่มีเรื่องไรหนอ
[0:02:31] NamfonNamfonn: jackey9JackeyDja jackey9JackeyDja jackey9JackeyDja
[0:02:31] m_lid: ลุงผีเข้าบ่
[0:02:31] thanapol2546: มีไรอะมาไว
