[0:01:50] arofatsalae: สวัสดีครับพี่
[0:01:50] nass503: ดีลุง
[0:01:51] hibibee: d kubbbb
[0:01:51] few_595: ดีคัย
[0:01:51] aungkoolz007: ดีคุ้บบ
[0:01:51] purple_moon_iusupczz: rebirthztvLove
[0:01:51] nichanat34: สวัสดีค่ะ
[0:01:51] yean0192: ดีคร
[0:01:51] AunDer_: สวัสดีครับบ
[0:01:51] kuaytxzn: ดีค้าบบบบ
[0:01:52] chrkeey: ดีคับ
[0:01:52] mmpplo: ลูกพี่กินอะไร???
[0:01:52] fluke_ooo: ดีครับพี่ชาย
[0:01:53] satam_mi: คิดถึงๆ rebirthztvLove
[0:01:53] viewche: ดีครับพี่ชาย
[0:01:53] aphinun1712: หว้ะดีค้าบ
[0:01:53] 04_nnice: D kabbb
[0:01:53] supakij_mos: !uptime
[0:01:53] cgggg55: ดีคับบ
[0:01:53] wararatbua2539: wararatbua2539 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[0:01:54] Kenthanayut: สวัสดีค้าบ
[0:01:54] jirar555: สวัสดีคับ
[0:01:54] Nightbot: Stream uptime 2 minutes, 2 seconds
[0:01:54] food________________: :)
[0:01:54] patrick_009827: DarkKnight DarkKnight DarkKnight
[0:01:54] titan_191: titan_191 subscribed at Tier 1. They've subscribed for 3 months! 
[0:01:55] kittikaewma_2003: ดีค้าบลุง
[0:01:55] black_list009: ดีค้าบแบบบ
[0:01:55] 3sofree: สวัสดัครับ
[0:01:55] athit999: ดีน้าบลูงง
[0:01:55] ZCyclops_: สวัสดีครับพี่เอส
[0:01:56] dreamchillzx: dreamchillzx subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! ย่าฮู้วววว
[0:01:56] boom_boom12345678: สวัสดีน้าบคุณลุง
[0:01:56] aey_ae: ดีครับ
[0:01:56] k_kingsman: คิดถึงจ๊าดดด
[0:01:56] ctus25518: ดีครับ
[0:01:56] MewExplosivE: ดีค้าบลุง
[0:01:56] IDrang2541: สวัสดีครับ
[0:01:57] aunza0631: ดีค้าบบบบบลุงงงงงงง!!!
[0:01:57] frongstrong: <3
[0:01:57] arsang777: ดีคร้าบบ
[0:01:57] kittikon55: เปิดมุมใหม่ไม่ชินเลย55555
[0:01:57] anas_ut: ดีค้าบลุง
[0:01:57] s4me____: ดีน้าบบบคุณลุงงง
[0:01:57] tartar2549999: ดีครับ
[0:01:58] martinnicora: ดีครับ
[0:01:58] Thiefnoheart: ดีครับลุงงงงง
[0:01:58] noppanat_oat: ดีค้าบ
[0:01:58] purple_moon_iusupczz: มาสักที rebirthztvTew
[0:01:59] topland420: ดีครับ
[0:01:59] PeeKruBz: ดีค้าบบพี่เอสส
[0:01:59] titan_191: ดีครับ
[0:01:59] bobmphg: ดีงับบบ
[0:01:59] highitmoon: สวัสดีครับ
[0:01:59] terapat_toc: ดีค่าบบ
[0:02:00] pamkanum: สวัดดีครับ โจรขโมยR50
[0:02:00] ALIF33099: คิดถึงน้าบบบบ
[0:02:00] lucifer_max666: <3 <3 <3
[0:02:01] juadstn: ดีครับลุงง
[0:02:01] somtuy11: ดีครับลุง
[0:02:01] losotonza01: คิดถึงลุงสุดๆๆๆๆ
[0:02:02] Simsian_dx: ดีน้าบบบบคิดถึงที่สุด
[0:02:02] KARAMITE: หวัดดีครับ
[0:02:02] nutza1599: หัวหน้าแก๊งปลาคาฟ มาแล้ววววว
[0:02:02] techit777: ดีครับ
[0:02:02] hukee11: !uptime
[0:02:02] Lapiis1: @purple_moon_iusupczz ดีน้าบบ
[0:02:02] cgggqkbn: ดีคับ
[0:02:02] four_cs2003: ดีค้าบบบบ
[0:02:03] winsavex: ดีค่าบบบบบบบบ
[0:02:03] phakkananz12: ดีค้าบบ
[0:02:03] Nightbot: Stream uptime 2 minutes, 11 seconds
[0:02:03] pipattanacha: ดีคับ
[0:02:03] pongpipat7374: ดีน้าบบ
[0:02:04] folk_aaaahhhhhh: สาหวัดดีฮ้าบบบบบบบ
[0:02:04] norased___: ดีค้าบบลุงง
[0:02:04] supanat656: ดีครับบบ
[0:02:04] pumba_pds: @purple_moon_iusupczz สวัสดีครับพี่ซุป StinkyGlitch
[0:02:04] kzetton: <3
[0:02:04] taetor110: ดีครับ
[0:02:04] tawadchai2542: หวัดดีครับลุง
[0:02:04] 0624185310: มาเเล้วววววววว
[0:02:04] ice_yosapat: ดีค้าบ
[0:02:04] boatkenzo: ดีคับ
[0:02:05] sharkienook: ดีค้าบลุงงง
[0:02:05] thikamporen: ดีน้าบคุณลุงง
[0:02:05] laminsed: ดีค่าบบ
[0:02:06] ba_ball: เเม็คDMH
[0:02:06] Sano_1997: ดีฮะ
[0:02:06] beambux2: ดีคับ
[0:02:06] armisus999: DMH
[0:02:06] aphicho: ดีครับลุง
[0:02:06] aongpst: ดีค้าบลุง
[0:02:06] arfza: ดีค้าบลุง
[0:02:07] tiwlyjha: ดีครับแก่
[0:02:07] ircnjk: GlitchNRG GlitchNRG
[0:02:07] tabd55: <3
[0:02:07] yuji007s: ดีครับ
[0:02:07] berbboobae_: ดีฮะะะ
[0:02:08] nack128795: ดีครับ
[0:02:08] tang261: ดีน้าบบบบบ
[0:02:08] bossy_xdb: ดีครับบ
[0:02:08] tie_no: ดีน้าบ
[0:02:08] chanokporn_0: ดีค้าบ
[0:02:09] itsozakaa: ozakaa12 subscribed at Tier 1. They've subscribed for 4 months! ดีค้าบบบ
[0:02:09] job__jab: job__jab subscribed at Tier 1. They've subscribed for 2 months! ไวเกิน
[0:02:09] thanksgiving789: สวัสดีคับ
[0:02:09] 99hxppy: หวัดดีครับลุง
[0:02:10] Leobeers: jaguar5514 jaguar5514
[0:02:10] lightningi3urn: jakเว้ยยยยย!!!
[0:02:10] Player1_TH: <3
[0:02:10] SNOWBALL_LOGITAG_T: joshosRedeye joshosRedeye joshosRedeye
[0:02:11] Ochean__: คิดถึงฝุดๆๆ
[0:02:11] purple_moon_iusupczz: @lapiis1 สวัสดีน้าบ HypeHai
[0:02:11] paladin2548: สวัสดิครัข
[0:02:11] dear1231: คิดถึงจุงงง
[0:02:12] ruokrpoo: ดี ค้าบบบ
[0:02:12] aert_mare1142: ดีครับ
[0:02:12] thailan123456789: ลุงเขาไม่ใส่ชุดเเกงค์เป็นไหมครับเเชท
[0:02:12] moswisut2535: สวัสดีคับลุงงงงง
[0:02:13] jacobkungg: สวัสดีน๊าบบบบบ
[0:02:13] flukcnon: ดีค้าบบบลุง
[0:02:13] abdulmarid: MercyWing1 <3 MercyWing2
[0:02:14] la_la_bell: ดีน้าบ
[0:02:14] mizxzzzzz: เพลงไรอะแชทททท
[0:02:14] anoneiei: ดีค้าบ
[0:02:15] basbaswill: HungryPaimon HungryPaimon HungryPaimon
[0:02:16] gtrjjjjj: ดีคะบ
[0:02:16] name_thakaskon: คิดถึงจุง rebirthztvNarukeu rebirthztvNarukeu
[0:02:17] thanakrit116: !sud
[0:02:18] ONGARDz: @purple_moon_iusupczz สาหว่าดีครับบพี่ดาบบบบ
[0:02:18] letmebeyourfav: ดีค้าบลุงงงง
[0:02:18] supawit222: โย่วๆ
[0:02:19] yeegod8936: rebirthztvPlease rebirthztvPlease
[0:02:19] pondlolna: ดีค้าบบ
[0:02:19] compactxt: ดีค้าบ
[0:02:19] aum044: ดีก๊าบบบ
[0:02:20] chaoolong: ดีค้าบบ jackey9JackeyDja jackey9JackeyDja
[0:02:20] Tunsana: HungryPaimon HungryPaimon HungryPaimon
[0:02:20] suksan1997: ดีค้าบบบบ
[0:02:20] Popcorm05: DG
[0:02:21] purple_moon_iusupczz: @pumba_pds ดีจ้า StinkyGlitch
[0:02:22] ketlnwza_007: มาแล้วววว
[0:02:22] LeOn_MMIII: ค่ตตึงเปิดบนหลังคาบ้าน
[0:02:22] MAMONSWEET: MAMONSWEET subscribed at Tier 1. They've subscribed for 6 months! 
[0:02:22] shibakungx: สวัสดีครับ
[0:02:22] dolzaza_: <3
[0:02:22] parklove2540: @purple_moon_iusupczz สวัสดีครับซุป
[0:02:23] kao_12312: ดีค้าบลุง
[0:02:23] happytimeganji: ปวดขี้
[0:02:23] nuttapat56: ลุ้นยิ่งกว่าลุ้นหวยอีกครับ
[0:02:23] tar_theraphat: ดีค้าบลุง
[0:02:23] iamtawannn09: rebirthztvAfk
[0:02:23] t4nbn77: หวัดดีคับบอส
[0:02:23] satam_mi: rebirthztvNarukeu
[0:02:24] THIPPLEX: @purple_moon_iusupczzพี่ซีปสวัสดีครับ
[0:02:25] polkritza: สวัสดีครับ
[0:02:25] djgameremixth2: สวัสดีครับ ป้าแม็ก
[0:02:25] vorrapree: มาสักทิ
[0:02:25] chaiananmalai: FootYellow FootYellow
[0:02:25] kkdbfihhwid: rebirthztvLove
[0:02:25] peerapathmm: ดีครับ
[0:02:26] s23037: ดีคับ
[0:02:27] NanTaPaT_07: ดีครับ
[0:02:27] arshiwynternelboy: 5555555เปลรายนวิว
[0:02:28] most196833: คิดถึงลุงมาก
[0:02:28] QuAzZeR: ดีค้าบ
[0:02:28] thanaphaz1: บอท
[0:02:29] newgagza01: คิดถึงค๊าบๆ
[0:02:29] imjeena: ดีฮะ
[0:02:30] purple_moon_iusupczz: @not_fcezq สวัสดีงับ
[0:02:30] beam_050: ดีน้าบบบ
[0:02:31] gotsad1: คิดถึงค้าบพี่เลิฟ
[0:02:31] namertyu: SeemsGood
[0:02:31] donut_pzh: สวัสดีครับ
[0:02:32] vitunchumting: เข้
